District,Code,State,Trump2016,Clinton2016,Obama2012,Romney2012,Obama2008,McCain2008,raw16PVI,raw12PVI,raw08PVI,raw16PVIuse,raw12PVIuse,raw08PVIuse,Trump2016vote,Clinton2016vote
Georgia 13th,GA-13,Georgia,26.6091927313287,71.0189285548304,69.2414337761598,29.9730724974121,67.4942499231634,32.5057500768366,21.6,17.8,13.8,-21.6,-17.8,-13.8,80157,213936
Georgia 14th,GA-14,Georgia,74.9785048774387,22.086433841921,25.3139403997761,73.2112881925009,28.156371796386,71.843628203614,-28.4,-26.3,-25.5,28.4,26.3,25.5,191849,56513
Hawaii 1st,HI-01,Hawaii,30.5379837553751,63.0716674629718,69.7015290463421,29.0186503962228,71.2840963471048,28.7159036528952,16.3,18.6,17.6,-16.3,-18.6,-17.6,63916,132009
Hawaii 2nd,HI-02,Hawaii,29.5628696440035,61.4113286923424,71.3836881839781,26.666544357095,74.6460695439209,25.3539304560791,16.4,20.8,21,-16.4,-20.8,-21,64931,134882
Iowa 1st,IA-01,Iowa,48.7064312646124,45.1572388178056,56.1854142330903,42.5286611988513,59.1506414426605,40.8493585573395,-3,5,5.5,3,-5,-5.5,190410,176535
Iowa 2nd,IA-02,Iowa,49.0537136901613,44.9511657836767,55.779970074307,42.7414978062945,57.8527313160696,42.1472686839304,-3.3,4.7,4.2,3.3,-4.7,-4.2,186384,170796
Iowa 3rd,IA-03,Iowa,48.54437322009,45.0165034767995,51.4459395954502,47.156630402377,53.1186081669941,46.8813918330059,-3,.2,-.6,3,-.2,.6,192960,178937
Iowa 4th,IA-04,Iowa,60.8657541458278,33.5354040536983,45.2565584959635,53.4245645722459,49.133959928379,50.866040071621,-15.6,-6.1,-4.6,15.6,6.1,4.6,231229,127401
Idaho 1st,ID-01,Idaho,63.6805213798549,25.3805667003095,32.1835263725484,64.9123555252271,35.9794287984407,64.0205712015593,-22.6,-18.8,-17.7,22.6,18.8,17.7,229034,91284
Idaho 2nd,ID-02,Idaho,54.4538013394072,29.7891068803427,33.066885585897,64.14220285418,37.9869126945602,62.0130873054398,-15.8,-17.9,-15.7,15.8,17.9,15.7,180021,98481
